wavelength,intensity
180.860,2100
180.937,2102
181.008,2079
181.122,2184
181.191,2048
181.264,2028
181.374,2051
181.447,2147
181.507,2162
181.603,2135
181.689,2126
181.774,2059
181.852,2156
181.918,2070
181.974,2152
182.083,2108
182.158,2004
182.246,2219
182.340,2030
182.416,2103
182.472,2025
182.528,2043
182.648,2073
182.729,2158
182.790,2084
182.877,2195
182.944,2182
183.021,2094
183.104,2086
183.182,2117
183.261,2035
183.358,2167
183.455,2157
183.562,2135
183.623,1993
183.687,2122
183.771,2089
183.863,2227
183.959,2186
184.041,2149
184.134,2027
184.201,2070
184.261,2208
184.321,2090
184.390,2197
184.454,2114
184.530,2039
184.611,2041
184.704,2198
184.807,2064
184.885,2098
184.996,2104
185.055,2177
185.139,2187
185.234,2106
185.293,2116
185.387,2110
185.496,2203
185.613,2041
185.685,2194
185.774,2184
185.874,2095
185.996,2153
186.051,2082
186.145,2058
186.208,2056
186.280,2158
186.364,2009
186.458,2152
186.580,2087
186.663,2004
186.775,2083
186.846,2106
186.924,2021
187.025,2120
187.100,2195
187.207,2139
187.282,2086
187.388,2214
187.477,2080
187.581,2207
187.703,2137
187.759,2115
187.867,2112
187.957,2137
188.056,2091
188.136,2179
188.241,2110
188.320,2192
188.431,2038
188.540,2181
188.620,2104
188.717,2228
188.832,2141
188.917,2216
189.000,2113
189.098,2258
189.220,2200
189.342,2188
189.398,2078
189.497,2037
189.562,2001
189.618,2060
189.701,2161
189.785,2107
189.866,2220
189.948,2166
190.028,2102
190.107,2050
190.209,2216
190.306,2128
190.396,2097
190.465,2033
190.548,2151
190.631,2042
190.716,2088
190.792,2065
190.884,2117
190.940,2062
190.996,2211
191.115,2092
191.178,2040
191.234,2126
191.339,2210
191.395,2044
191.461,2052
191.545,2111
191.667,2096
191.770,2049
191.826,2302
191.882,2185
191.978,2182
192.097,2238
192.178,2110
192.238,2098
192.310,2158
192.430,2203
192.488,2203
192.544,2109
192.622,2224
192.698,2071
192.775,2080
192.861,2224
192.983,2089
193.064,2128
193.181,2164
193.280,2041
193.359,2126
193.425,2086
193.484,2271
193.582,2208
193.675,2253
193.797,2109
193.886,2067
193.945,2090
194.019,2166
194.075,2131
194.166,2118
194.254,2093
194.353,2125
194.450,2125
194.572,2173
194.659,2106
194.782,2197
194.871,2185
194.965,2077
195.058,2143
195.162,2238
195.256,2104
195.337,2032
195.403,2078
195.495,2123
195.602,2123
195.707,2101
195.799,2252
195.910,2139
195.997,2196
196.093,2129
196.191,2133
196.250,2199
196.345,2219
196.423,2137
196.492,2126
196.583,2181
196.654,2105
196.729,2165
196.805,2157
196.903,2255
197.003,2264
197.088,2117
197.208,2186
197.297,2141
197.388,2151
197.454,2186
197.510,2203
197.607,2176
197.694,2110
197.766,2173
197.849,2167
197.937,2299
198.022,2143
198.123,2168
198.195,2246
198.286,2189
198.382,2108
198.471,2112
198.536,2209
198.627,2221
198.748,2185
198.844,2221
198.933,2132
199.055,2149
199.135,2108
199.191,2239
199.276,2064
199.344,2137
199.435,2199
199.509,2217
199.579,2034
199.697,2200
199.806,2076
199.909,2260
200.000,2107
200.083,2201
200.184,2262
200.261,2253
200.352,2126
200.466,2253
200.549,2288
200.641,2235
200.733,2128
200.795,2250
200.907,2219
201.003,2076
201.089,2179
201.211,2156
201.325,2094
201.423,2232
201.494,2159
201.591,2263
201.651,2186
201.768,2181
201.824,2160
201.936,2182
202.014,2154
202.070,2205
202.149,2208
202.215,2036
202.286,2150
202.356,2138
202.427,2137
202.532,2199
202.617,2183
202.690,2102
202.746,2143
202.832,2163
202.948,2212
203.020,2172
203.100,2175
203.156,2133
203.248,2169
203.305,2185
203.391,2197
203.470,2059
203.545,2278
203.634,2138
203.714,2183
203.781,2142
203.872,2088
203.954,2171
204.010,2205
204.071,2172
204.163,2169
204.233,2161
204.289,2194
204.403,2149
204.488,2064
204.579,2215
204.664,2134
204.760,2134
204.828,2044
204.907,2263
204.963,2239
205.074,2166
205.163,2163
205.219,2130
205.307,2092
205.364,2166
205.441,2101
205.527,2165
205.631,2071
205.693,2245
205.773,2004
205.862,2195
205.958,2176
206.054,2133
206.151,2196
206.237,2141
206.333,2136
206.409,2165
206.502,2115
206.557,2123
206.657,2178
206.754,2127
206.858,2189
206.947,2152
207.018,2228
207.107,2202
207.229,2191
207.322,2165
207.378,2172
207.465,2256
207.532,2179
207.602,2183
207.677,2271
207.795,2232
207.876,2173
207.962,2219
208.058,2312
208.157,2233
208.248,2265
208.370,2187
208.479,2239
208.569,2184
208.639,2224
208.747,2161
208.860,2189
208.975,2261
209.060,2278
209.136,2267
209.192,2194
209.285,2171
209.357,2252
209.470,2262
209.553,2133
209.611,2202
209.733,2219
209.791,2298
209.847,2176
209.913,2189
210.017,2207
210.124,2109
210.211,2158
210.313,2266
210.396,2341
210.499,2232
210.581,2178
210.682,2208
210.760,2189
210.856,2293
210.917,2236
211.008,2283
211.095,2182
211.152,2269
211.220,2152
211.314,2132
211.424,2136
211.506,2251
211.625,2188
211.696,2215
211.768,2236
211.824,2222
211.909,2226
211.994,2189
212.059,2202
212.153,2279
212.220,2235
212.321,2238
212.397,2157
212.488,2268
212.551,2044
212.668,2121
212.765,2238
212.821,2251
212.903,2173
213.003,2260
213.125,2234
213.212,2195
213.316,2225
213.396,2162
213.507,2262
213.563,2142
213.644,2304
213.730,2168
213.808,2159
213.907,2288
213.966,2224
214.067,2204
214.148,2178
214.217,2309
214.286,2357
214.348,2250
214.424,2181
214.515,2168
214.628,2152
214.698,2156
214.764,2354
214.844,2245
214.900,2209
214.997,2239
215.063,2135
215.119,2175
215.203,2224
215.300,2319
215.394,2250
215.497,2288
215.584,2250
215.677,2198
215.765,2301
215.858,2236
215.950,2200
216.044,2237
216.100,2301
216.163,2228
216.219,2211
216.311,2304
216.399,2299
216.486,2167
216.547,2234
216.655,2284
216.711,2348
216.802,2244
216.895,2170
216.991,2112
217.092,2321
217.195,2223
217.274,2180
217.338,2214
217.410,2261
217.493,2296
217.548,2181
217.604,2276
217.689,2354
217.764,2164
217.851,2268
217.934,2344
218.036,2202
218.124,2160
218.200,2254
218.267,2258
218.358,2233
218.437,2278
218.505,2224
218.591,2199
218.665,2252
218.751,2200
218.828,2218
218.925,2252
218.993,2179
219.073,2357
219.176,2197
219.260,2257
219.382,2181
219.438,2228
219.527,2256
219.583,2143
219.649,2148
219.734,2165
219.844,2283
219.952,2215
220.008,2165
220.088,2326
220.171,2310
220.266,2314
220.372,2240
220.441,2185
220.508,2239
220.564,2127
220.658,2342
220.760,2303
220.819,2290
220.898,2291
220.977,2306
221.067,2188
221.163,2177
221.225,2284
221.312,2283
221.402,2152
221.490,2164
221.560,2228
221.675,2334
221.784,2317
221.857,2295
221.931,2207
222.018,2212
222.126,2274
222.216,2243
222.306,2236
222.395,2317
222.474,2219
222.590,2281
222.712,2270
222.782,2286
222.868,2251
222.947,2192
223.024,2210
223.107,2196
223.227,2313
223.296,2285
223.377,2236
223.447,2167
223.533,2230
223.641,2318
223.714,2156
223.829,2302
223.946,2215
224.052,2289
224.150,2299
224.260,2300
224.381,2241
224.460,2238
224.537,2350
224.623,2374
224.679,2393
224.786,2262
224.842,2186
224.912,2224
224.987,2249
225.078,2247
225.160,2181
225.282,2272
225.375,2379
225.485,2285
225.607,2196
225.671,2295
225.746,2228
225.868,2272
225.953,2277
226.017,2273
226.118,2154
226.188,2188
226.288,2224
226.344,2255
226.433,2252
226.506,2250
226.594,2363
226.668,2203
226.777,2239
226.833,2337
226.935,2272
227.011,2271
227.067,2289
227.173,2296
227.275,2237
227.362,2338
227.442,2191
227.526,2166
227.596,2358
227.705,2170
227.813,2319
227.884,2290
227.996,2200
228.111,2285
228.198,2339
228.284,2234
228.391,2152
228.513,2224
228.601,2356
228.694,2229
228.788,2256
228.865,2114
228.946,2230
229.031,2262
229.104,2324
229.160,2202
229.265,2173
229.387,2240
229.458,2338
229.556,2155
229.618,2161
229.735,2283
229.853,2270
229.943,2282
230.023,2310
230.132,2276
230.223,2342
230.302,2294
230.358,2251
230.414,2248
230.470,2111
230.592,2230
230.684,2257
230.780,2338
230.902,2349
231.013,2257
231.112,2265
231.230,2198
231.285,2323
231.374,2206
231.474,2039
231.573,2252
231.662,2234
231.751,2255
231.858,2290
231.939,2304
232.052,2197
232.136,2242
232.241,2233
232.306,2341
232.385,2169
232.470,2257
232.526,2273
232.609,2246
232.698,2240
232.762,2192
232.850,2165
232.914,2349
233.009,2419
